"sample_id","rna","protein"
"C3L-04495",11.403681846411,24.0598200442564
"C3L-01637",13.4332800390427,25.3538021283133
"C3N-02579",12.5027913849915,25.4029447536813
"C3L-02890",11.8085244447279,23.9594789357878
"C3N-02010",13.1368353591369,24.6014602746685
"C3N-04282",13.2594761941998,25.5910974312421
"C3N-03039",15.1001070395835,26.5255982288812
"C3N-02573",13.5321309552853,26.3782874473868
"C3L-03356",13.4791398923443,25.5149970521562
"C3N-03211",13.2026454934546,25.6161918323604
"C3N-03426",12.2258660614011,25.1397867931287
"C3N-03430",13.2340952730756,25.8886345182815
"C3N-01381",13.0942555063899,25.1420322286918
"C3N-00709",12.0084096112927,24.1264410797599
"C3N-02592",13.0504268395945,25.283692495679
"C3L-02604",12.8571466867578,24.8735361956396
"C3L-01687",13.5079999620501,24.6468983143001
"C3L-02463",14.2589560374044,25.1721962851747
"C3N-02589",11.7275861366771,24.2977886421063
"C3N-01714",13.6159028177621,25.1490851684397
"C3N-01383",13.4061617909695,24.576028205111
"C3L-01971",12.7305761073318,24.8124164070059
"C3N-01168",11.8517184007872,25.248993180583
"C3N-03665",14.0767429854256,25.1197203715097
"C3N-00198",12.6255217422371,24.2657517134145
"C3N-04283",12.2853280417576,25.8805047739231
"C3N-01382",12.1486527162607,24.5528519563062
"C3N-01380",11.8543546767465,24.658347697704
"C3L-00401",12.8578355013376,24.6456143862113
"C3L-00881",12.5793232047785,24.9791642653472
"C3N-01715",10.7277836510807,24.2859576468718
"C3N-03440",12.348730629885,24.5787578904404
"C3N-03780",12.5652513192475,24.3745377846309
"C3N-04126",13.218683094122,25.7009952959232
"C3L-02809",13.3892791934833,27.9939224700849
"C3N-03754",12.5543570454131,24.0988553521046
"C3L-02118",13.5767181945478,25.2474840246958
"C3N-03006",13.0949502522592,25.3446666425794
"C3L-00625",13.9283145435266,26.5268842833477
"C3N-01502",12.2999261365088,24.9236762768593
"C3L-03123",13.7628490805889,25.2621355417099
"C3N-02998",12.6482714330828,26.5398601652694
"C3L-03632",11.0582847024955,24.15091213148
"C3N-00302",12.683144685973,24.511847010215
"C3N-01375",13.525719574579,25.2092459100673
"C3L-03628",13.2794205680796,25.3615881881602
"C3N-03086",12.7890399491965,24.6200632712152
"C3N-01719",12.9102705826548,25.2580354555773
"C3L-02897",12.5762786535112,25.5487305519087
"C3N-00516",12.6661915878982,24.8849440869096
"C3L-04475",12.6535616791728,26.0536772169583
"C3N-00518",11.9813232038048,24.8380592805213
"C3L-02109",13.3926097024269,26.548190271545
"C3L-03394",10.5190561354379,24.2259292364918
